game_type,text1,text2,answer,option1,option2,option3,option4,difficulty,category,know_more,hint,image_url,topic
story-nebula,The Lost Puppy,Emma found a small puppy in the park. It was brown with white spots and looked hungry. She gave it her sandwich and the puppy wagged its tail.,In the park,In the park,At school,At home,In a store,Easy,Where did Emma find the puppy?,Read carefully! The story says in the park.,,,
story-nebula,The Lost Puppy,Emma found a small puppy in the park. It was brown with white spots and looked hungry. She gave it her sandwich and the puppy wagged its tail.,Brown with white spots,Brown with white spots,Black,White,Gray,Easy,What color was the puppy?,Look for color words - brown with white spots!,,,
story-nebula,The Lost Puppy,Emma found a small puppy in the park. It was brown with white spots and looked hungry. She gave it her sandwich and the puppy wagged its tail.,Her sandwich,Her sandwich,Water,A toy,Nothing,Easy,What did Emma give the puppy?,She GAVE it her sandwich - giving means sharing!,,,
story-nebula,The Science Fair,Tom made a volcano for the science fair. He used baking soda and vinegar to make it erupt. Everyone clapped and he won second place.,A volcano,A volcano,Planets,Plants,Animals,Easy,What was Toms project?,His project was a VOLCANO that erupted!,,,
story-nebula,The Science Fair,Tom made a volcano for the science fair. He used baking soda and vinegar to make it erupt. Everyone clapped and he won second place.,Baking soda and vinegar,Baking soda and vinegar,Water,Paint,Fire,Medium,What made it erupt?,Baking soda + vinegar = chemical reaction = eruption!,,,
story-nebula,The Rainy Day,Sarah wanted to play outside but it was raining. She built a blanket fort with her brother. They read books until the rain stopped.,It was raining,It was raining,She was sick,Too hot,Had homework,Easy,Why couldnt Sarah play outside?,Look for the reason - IT WAS RAINING!,,,
story-nebula,The Rainy Day,Sarah wanted to play outside but it was raining. She built a blanket fort with her brother. They read books until the rain stopped.,A blanket fort,A blanket fort,Treehouse,Puzzle,Snowman,Medium,What did Sarah build?,She BUILT a blanket fort - building with blankets!,,,
story-nebula,The Rainy Day,Sarah wanted to play outside but it was raining. She built a blanket fort with her brother. They read books until the rain stopped.,Her brother,Her brother,Her mom,Her friend,No one,Medium,Who helped Sarah?,WITH her brother means he helped!,,,
story-nebula,The Library Visit,Jake went to the library with his grandmother. He found a book about dinosaurs and the librarian helped him check it out.,The library,The library,The park,School,The store,Hard,Where did Jake go?,The first sentence tells us - the LIBRARY!,,,
story-nebula,The Library Visit,Jake went to the library with his grandmother. He found a book about dinosaurs and the librarian helped him check it out.,Dinosaurs,Dinosaurs,Cars,Space,Dogs,Hard,What was the book about?,He found a book ABOUT DINOSAURS!,,,
story-nebula,Birthday Cake,Mom baked a cake for Dads birthday. She used chocolate frosting. When Dad came home he was surprised and happy.,A cake,A cake,Cookies,Pie,Bread,Hard,What did Mom bake?,Mom BAKED a CAKE - look for the action and object!,,,
story-nebula,Birthday Cake,Mom baked a cake for Dads birthday. She used chocolate frosting. When Dad came home he was surprised and happy.,Surprised and happy,Surprised and happy,Angry,Sad,Tired,Hard,How did Dad feel?,Look for feeling words - SURPRISED and HAPPY!,,,
story-nebula,The New Pet,Maria wanted a pet. Her parents took her to the animal shelter. She chose a small orange kitten named Whiskers.,Animal shelter,Animal shelter,Pet store,Zoo,Park,Easy,Where did Maria get her pet?,The story says they went to the ANIMAL SHELTER!,,,
story-nebula,The New Pet,Maria wanted a pet. Her parents took her to the animal shelter. She chose a small orange kitten named Whiskers.,Whiskers,Whiskers,Fluffy,Mittens,Shadow,Easy,What was the kitten's name?,The kitten's name is WHISKERS!,,,
story-nebula,The New Pet,Maria wanted a pet. Her parents took her to the animal shelter. She chose a small orange kitten named Whiskers.,Orange,Orange,Black,White,Gray,Easy,What color was the kitten?,Look for the color word - ORANGE kitten!,,,
story-nebula,The Garden,Tom planted tomato seeds in his garden. He watered them every day. After two months small red tomatoes grew.,Tomato,Tomato,Carrot,Lettuce,Corn,Medium,What did Tom plant?,He planted TOMATO seeds!,,,
story-nebula,The Garden,Tom planted tomato seeds in his garden. He watered them every day. After two months small red tomatoes grew.,Every day,Every day,Once a week,Never,Sometimes,Medium,How often did Tom water?,The story says EVERY DAY!,,,
story-nebula,The Garden,Tom planted tomato seeds in his garden. He watered them every day. After two months small red tomatoes grew.,Two months,Two months,One week,One month,Three months,Medium,How long until tomatoes grew?,AFTER TWO MONTHS they grew!,,,
story-nebula,The Concert,Anna practiced violin for months. On concert night she played beautifully. The audience clapped for five minutes.,Violin,Violin,Piano,Guitar,Flute,Hard,What instrument did Anna play?,She practiced and played the VIOLIN!,,,
story-nebula,The Concert,Anna practiced violin for months. On concert night she played beautifully. The audience clapped for five minutes.,For months,For months,One day,One week,One year,Hard,How long did Anna practice?,She practiced FOR MONTHS!,,,
story-nebula,The Concert,Anna practiced violin for months. On concert night she played beautifully. The audience clapped for five minutes.,Five minutes,Five minutes,One minute,Ten minutes,Two minutes,Hard,How long did audience clap?,They clapped for FIVE MINUTES!,,,
story-nebula,The Space Picnic,"Zog the alien wanted to have a picnic on the moon. He packed green sandwiches and moon cheese. He flew his silver rocket ship past three bright stars. When he landed, he saw his friend Beep-Boop the robot. They sat on a crater and watched the Earth spin. It was a beautiful blue ball in the dark sky. Zog shared his sandwich, and Beep-Boop shared his oil juice. They were happy best friends.",Green sandwiches and moon cheese,Green sandwiches and moon cheese,Pizza,Burgers,Rocks,Easy,comprehension,Did you read about the food?,He packed green sandwiches and moon cheese.,dynamic:shape:star,
story-nebula,The Space Picnic,"Zog the alien wanted to have a picnic on the moon. He packed green sandwiches and moon cheese. He flew his silver rocket ship past three bright stars. When he landed, he saw his friend Beep-Boop the robot. They sat on a crater and watched the Earth spin. It was a beautiful blue ball in the dark sky. Zog shared his sandwich, and Beep-Boop shared his oil juice. They were happy best friends.",Beep-Boop,Beep-Boop,Zorg,Gleep,Bloop,Easy,comprehension,Who was the robot?,"When he landed, he saw his friend Beep-Boop the robot.",dynamic:shape:star,
story-nebula,The Space Picnic,"Zog the alien wanted to have a picnic on the moon. He packed green sandwiches and moon cheese. He flew his silver rocket ship past three bright stars. When he landed, he saw his friend Beep-Boop the robot. They sat on a crater and watched the Earth spin. It was a beautiful blue ball in the dark sky. Zog shared his sandwich, and Beep-Boop shared his oil juice. They were happy best friends.",Blue,Blue,Red,Green,Purple,Easy,comprehension,What color is Earth?,It was a beautiful blue ball in the dark sky.,dynamic:shape:star,
story-nebula,The Helpful Dragon,"Sparky was a small dragon who could not breathe fire. He could only breathe bubbles! The other dragons laughed at him. One day, a forest fire started near the village. The big dragons tried to stomp it out, but it was too hot. Sparky flew over the fire and blew thousands of giant wet bubbles. Pop! Pop! The bubbles burst and water splashed everywhere. The fire went out! The village was saved, and Sparky was a hero.",Bubbles,Bubbles,Fire,Smoke,Ice,Easy,comprehension,What came out of his mouth?,He could only breathe bubbles!,dynamic:shape:heart,
story-nebula,The Helpful Dragon,"Sparky was a small dragon who could not breathe fire. He could only breathe bubbles! The other dragons laughed at him. One day, a forest fire started near the village. The big dragons tried to stomp it out, but it was too hot. Sparky flew over the fire and blew thousands of giant wet bubbles. Pop! Pop! The bubbles burst and water splashed everywhere. The fire went out! The village was saved, and Sparky was a hero.",He couldn't breathe fire,He couldn't breathe fire,He was too small,He was green,He couldn't fly,Easy,comprehension,Why did they laugh?,Sparky was a small dragon who could not breathe fire.,dynamic:shape:heart,
story-nebula,The Helpful Dragon,"Sparky was a small dragon who could not breathe fire. He could only breathe bubbles! The other dragons laughed at him. One day, a forest fire started near the village. The big dragons tried to stomp it out, but it was too hot. Sparky flew over the fire and blew thousands of giant wet bubbles. Pop! Pop! The bubbles burst and water splashed everywhere. The fire went out! The village was saved, and Sparky was a hero.",Used wet bubbles,Used wet bubbles,Stomped on it,Blew wind,Called for help,Easy,comprehension,How did he stop the fire?,The bubbles burst and water splashed everywhere. The fire went out!,dynamic:shape:heart,
story-nebula,The Secret Key,"Lily found a rusty old key in her grandmother's attic. It had a shape of a heart on top. She tried it on the front door, but it didn't work. She tried it on her jewelry box, but it was too big. Then she saw a dusty wooden chest in the corner. She put the key in the lock and turned it. Click! The chest opened. Inside was a beautiful dress made of blue silk. It was her grandmother's favorite dress.",Attic,Attic,Basement,Garden,Kitchen,Easy,comprehension,Where was the key?,Lily found a rusty old key in her grandmother's attic.,dynamic:shape:circle,
story-nebula,The Secret Key,"Lily found a rusty old key in her grandmother's attic. It had a shape of a heart on top. She tried it on the front door, but it didn't work. She tried it on her jewelry box, but it was too big. Then she saw a dusty wooden chest in the corner. She put the key in the lock and turned it. Click! The chest opened. Inside was a beautiful dress made of blue silk. It was her grandmother's favorite dress.",Heart,Heart,Star,Square,Circle,Easy,comprehension,What shape was it?,It had a shape of a heart on top.,dynamic:shape:circle,
story-nebula,The Secret Key,"Lily found a rusty old key in her grandmother's attic. It had a shape of a heart on top. She tried it on the front door, but it didn't work. She tried it on her jewelry box, but it was too big. Then she saw a dusty wooden chest in the corner. She put the key in the lock and turned it. Click! The chest opened. Inside was a beautiful dress made of blue silk. It was her grandmother's favorite dress.",Blue silk dress,Blue silk dress,Gold coins,Old toys,Books,Easy,comprehension,What was inside?,Inside was a beautiful dress made of blue silk.,dynamic:shape:circle,
story-nebula,The Little Seed,"A little seed for me to sow\nA little earth to make it grow\nA little hole, a little pat,\nA little wish, and that is that,\nA little sun, a little shower,\nA little while - and then, a flower!","Earth, sun, and shower",Toys,Cars,"Earth, sun, and shower",Pizza,Easy,comprehension,What does the seed need to grow?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Little Seed,"A little seed for me to sow\nA little earth to make it grow\nA little hole, a little pat,\nA little wish, and that is that,\nA little sun, a little shower,\nA little while - and then, a flower!",A flower,A flower,A tree,A bush,A weed,Easy,comprehension,What grows from the seed?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Little Seed,"A little seed for me to sow\nA little earth to make it grow\nA little hole, a little pat,\nA little wish, and that is that,\nA little sun, a little shower,\nA little while - and then, a flower!",That is that,A surprise,That is that,A nap,A dance,Easy,comprehension,What happens after the wish?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Little Seed,"A little seed for me to sow\nA little earth to make it grow\nA little hole, a little pat,\nA little wish, and that is that,\nA little sun, a little shower,\nA little while - and then, a flower!",A little,A lot,A little,None,Too much,Easy,comprehension,How much sun is needed?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Little Seed,"A little seed for me to sow\nA little earth to make it grow\nA little hole, a little pat,\nA little wish, and that is that,\nA little sun, a little shower,\nA little while - and then, a flower!",Pat it,Dig it,Eat it,Pat it,Kick it,Easy,comprehension,What do you do to the earth?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Little Seed,"A little seed for me to sow\nA little earth to make it grow\nA little hole, a little pat,\nA little wish, and that is that,\nA little sun, a little shower,\nA little while - and then, a flower!",A little while,Forever,A year,A little while,A day,Easy,comprehension,How long does it take?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Little Seed,"A little seed for me to sow\nA little earth to make it grow\nA little hole, a little pat,\nA little wish, and that is that,\nA little sun, a little shower,\nA little while - and then, a flower!",A seed,A coin,A rock,A bead,A seed,Easy,comprehension,What is sown?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Little Seed,"A little seed for me to sow\nA little earth to make it grow\nA little hole, a little pat,\nA little wish, and that is that,\nA little sun, a little shower,\nA little while - and then, a flower!",AABBCC,None,AABBCC,ABCABC,ABABAB,Easy,comprehension,What is the rhyme scheme?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,My Shadow,"I have a little shadow that goes in and out with me,\nAnd what can be the use of him is more than I can see.\nHe is very, very like me from the heels up to the head;\nAnd I see him jump before me, when I jump into my bed.",My shadow,My cat,My friend,My dog,My shadow,Easy,comprehension,Who goes in and out?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,My Shadow,"I have a little shadow that goes in and out with me,\nAnd what can be the use of him is more than I can see.\nHe is very, very like me from the heels up to the head;\nAnd I see him jump before me, when I jump into my bed.",Very like me,Different,Tall,Scary,Very like me,Easy,comprehension,What is the shadow like?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,My Shadow,"I have a little shadow that goes in and out with me,\nAnd what can be the use of him is more than I can see.\nHe is very, very like me from the heels up to the head;\nAnd I see him jump before me, when I jump into my bed.",Into my bed,Into the pool,Into my bed,Into the car,Into the park,Easy,comprehension,When does he jump before me?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,My Shadow,"I have a little shadow that goes in and out with me,\nAnd what can be the use of him is more than I can see.\nHe is very, very like me from the heels up to the head;\nAnd I see him jump before me, when I jump into my bed.",Heels to head,Head to toe,Heels to head,Back to front,Toes to nose,Easy,comprehension,From where is he like me?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,My Shadow,"I have a little shadow that goes in and out with me,\nAnd what can be the use of him is more than I can see.\nHe is very, very like me from the heels up to the head;\nAnd I see him jump before me, when I jump into my bed.",More than I can see,None,To help,More than I can see,To play,Easy,comprehension,What is the use of him?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,My Shadow,"I have a little shadow that goes in and out with me,\nAnd what can be the use of him is more than I can see.\nHe is very, very like me from the heels up to the head;\nAnd I see him jump before me, when I jump into my bed.","No, goes in and out",Yes,"No, goes in and out",Sometimes,Maybe,Easy,comprehension,Does the shadow stay inside?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,My Shadow,"I have a little shadow that goes in and out with me,\nAnd what can be the use of him is more than I can see.\nHe is very, very like me from the heels up to the head;\nAnd I see him jump before me, when I jump into my bed.",The shadow,The dog,The shadow,The boy,The dad,Easy,comprehension,Who is 'He' in the poem?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,My Shadow,"I have a little shadow that goes in and out with me,\nAnd what can be the use of him is more than I can see.\nHe is very, very like me from the heels up to the head;\nAnd I see him jump before me, when I jump into my bed.",Bedtime,Morning,Bedtime,Lunch,School time,Easy,comprehension,What time is it likely?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
